Peak,New_name
Sabinene,
β-Phellandrene,
β-Phellandrene,
α-Phellandrene,
α-Phellandrene,
Sabinene,
β-Phellandrene,
Eucalyptol,Eucalyptol
Eucalyptol,Eucalyptol
Eucalyptol,Eucalyptol
Eucalyptol,Eucalyptol
Eucalyptol,Eucalyptol
Eucalyptol,Eucalyptol
Eucalyptol,Eucalyptol
Eucalyptol,Eucalyptol
α-Thujene,
β-trans-Ocimene,Cis.Beta.Ocimene
β-Ocimene,Cis.Beta.Ocimene
cis-β-Ocimene,Cis.Beta.Ocimene
cis-β-Ocimene,Cis.Beta.Ocimene
β-cis-Ocimene,Cis.Beta.Ocimene
"1,3,6-Octatriene, 3,7-dimethyl-, (Z)-",Cis.Beta.Ocimene
β-cis-Ocimene,Cis.Beta.Ocimene
β-cis-Ocimene,Cis.Beta.Ocimene
β-cis-Ocimene,Cis.Beta.Ocimene
β-cis-Ocimene,Cis.Beta.Ocimene
β-cis-Ocimene,Cis.Beta.Ocimene
β-cis-Ocimene,Cis.Beta.Ocimene
"1,3,6-Octatriene, 3,7-dimethyl-, (Z)-",Cis.Beta.Ocimene
"1,3,6-Octatriene, 3,7-dimethyl-, (Z)-",Cis.Beta.Ocimene
.β-cis-Ocimene,Cis.Beta.Ocimene
β-Cymene,
β-Cymene,
"Oxalic acid, 2-isopropylphenyl pentyl ester",
"3-Hexen-1-ol, acetate, (Z)-",3.Hexenyl.acetate
"3-Hexen-1-ol, acetate, (E)-",3.Hexenyl.acetate
Allo-Ocimene,
3-Hexen-1-ol,3.Hexen.1.ol
3-Hexen-1-ol,3.Hexen.1.ol
"Benzene, 1-methoxy-2-methyl-",
Acetic acid,
P-cymene,
δ-Elemene,
"1-Pentanol, 2-ethyl-4-methyl-",
cis-3-Hexenyl isovalerate,
γ-Elemene,
Elixene,
"Vanillin, tert-butyldimethylsilyl ether",
α-Cubebene,Copaene
α-Cubebene,Copaene
Copaene,Copaene
Copaene,Copaene
Copaene,Copaene
Copaene,Copaene
Benzaldehyde,Benzaldehyde
Benzaldehyde,Benzaldehyde
Benzaldehyde,Benzaldehyde
Linalool,Linalool
Linalool,Linalool
Linalool,Linalool
Linalool,Linalool
: γ-Elemene,Linalool
Linalool,Linalool
Linalool,Linalool
Linalool,Linalool
"1,6-Octadien-3-ol, 3,7-dimethyl-",
β-Cubebene,
β-Cubebene,
β-Cubebene,
β-Cubebene,
"1,4-Benzenediol, 2-methoxy-",
.(-)-β-Elemene,
.(-)-β-Elemene,
(-)-Aristolene,
Squalene,
"Anisole, 2-isopropyl-5-methyl-",
.(-)-β-Elemene,Elemene derivative.1
".β-Elemene, (-)-",Elemene derivative.1
".β-Elemene, (-)-",Elemene derivative.1
.(-)-β-Elemene,Elemene derivative.1
.(-)-β-Elemene,Elemene derivative.1
.(-)-β-Elemene,Elemene derivative.1
.(-)-β-Elemene,Elemene derivative.1
.(-)-β-Elemene,Elemene derivative.1
.β-Elemen,Elemene derivative.1
.(-)-β-Elemene,Elemene derivative.1
.(-)-β-Elemene,Elemene derivative.1
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,Caryophyllene
Caryophyllene,
2-Amino-1-phenylethanol,
2-Amino-1-phenylethanol,
2-Amino-1-phenylethanol,
2-Amino-1-phenylethanol,
5-Bromo-1-hexene,A.farnesene
β-Farnesene,A.farnesene
β-Farnesene,A.farnesene
β-Farnesene,A.farnesene
β-Farnesene,A.farnesene
β-Farnesene,A.farnesene
5-Bromo-1-hexene,A.farnesene
Vinylcyclohexyl ether,A.farnesene
5-Bromo-1-hexene,A.farnesene
β-Farnesene,A.farnesene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
α-Caryophyllene,A.caryophyllene
4-Oxoisophorone,4.oxoisophorone
4-Oxoisophorone,4.oxoisophorone
4-Oxoisophorone,4.oxoisophorone
.4-Oxoisophorone,4.oxoisophorone
4-Oxoisophorone,4.oxoisophorone
α-Cubebene,A.cubebene
Copaene,A.cubebene
α-Cubebene,A.cubebene
α-Cubebene,A.cubebene
α-Cubebene,A.cubebene
Germacrene D,Germacrene.D
Germacrene D,Germacrene.D
β-Cubebene,Germacrene.D
Germacrene D,Germacrene.D
Germacrene D,Germacrene.D
Germacrene D,Germacrene.D
Germacrene D,Germacrene.D
Germacrene D,Germacrene.D
β-Cubebene,Germacrene.D
.β-Cubebene,Germacrene.D
β-Cubebene,Germacrene.D
Lilac alcohol B,Lilac.alcohol.1
Lilac alcohol D,Lilac.alcohol.1
Bergamotene,
Elemene derivative,Elemene derivative.2
.β-Selinene,Elemene derivative.2
.β-Selinene,Elemene derivative.2
α-Selinene,Elemene derivative.2
Elemene derivative,Elemene derivative.2
β-Selinene,Elemene derivative.2
Lilac alcohol B,Lilac.alcohol.2
Lilac alcohol B,Lilac.alcohol.2
"Oxime-, methoxy-phenyl-_",Lilac.alcohol.2
Lilac alcohol B,Lilac.alcohol.2
Lilac alcohol D,Lilac.alcohol.2
Lilac alcohol B,Lilac.alcohol.2
Lilac alcohol A,Lilac.alcohol.2
γ-Elemene,Lilac.alcohol.2
γ-Elemene,Lilac.alcohol.2
γ-Elemene,Lilac.alcohol.2
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
α-Farnesene,B-farnesene
Methyl salicylate,Methyl.salicylate
Methyl salicylate,Methyl.salicylate
Methyl salicylate,Methyl.salicylate
Methyl salicylate,Methyl.salicylate
Methyl salicylate,Methyl.salicylate
Benzenepropanal,
Methyl salicylate,Methyl.salicylate
Methyl salicylate,Methyl.salicylate
Methyl salicylate,Methyl.salicylate
Lilac alcohol D,Lilac.alcohol.3
Lilac alcohol D,Lilac.alcohol.3
Lilac alcohol C,Lilac.alcohol.3
Lilac alcohol B,Lilac.alcohol.3
