Apex_RT,ID,Peak,Area,file
22.14,SPMEn78,47,204223.291,201103
7.33,SPMEn79,5,861004.167,201103
8.27,SPMEn79,6,2908994.618,201103
9.21,SPMEn79,7,369056.407,201103
11.01,SPMEn79,11,15956.827,201103
12.2,SPMEn79,15,21007491.777,201103
13.07,SPMEn79,18,1272281.276,201103
13.59,SPMEn79,23,69665.229,201103
13.85,SPMEn79,26,12996313.484,201103
15.99,SPMEn79,36,3799860.132,201103
16.51,SPMEn79,37,808848.638,201103
17.75,SPMEn79,41,688822.292,201103
5.96,SPMEn80,2,497763.587,201103
7.07,SPMEn80,4,397648.021,201103
7.31,SPMEn80,5,25262978.418,201103
10.9,SPMEn80,10,1800870.033,201103
11.04,SPMEn80,11,932240.471,201103
11.39,SPMEn80,12,4446105.748,201103
11.46,SPMEn80,13,846652.416,201103
12.06,SPMEn80,14,3201246.039,201103
12.2,SPMEn80,15,16830101.759,201103
12.9,SPMEn80,17,545397.314,201103
13.07,SPMEn80,18,2047871.56,201103
13.18,SPMEn80,19,290261.209,201103
13.53,SPMEn80,21,7828705.706,201103
13.56,SPMEn80,22,1900550.785,201103
13.79,SPMEn80,25,8707502.544,201103
14.08,SPMEn80,27,838854.179,201103
14.26,SPMEn80,28,10241036.926,201103
14.69,SPMEn80,30,1013687.577,201103
15.11,SPMEn80,31,3240612.652,201103
15.38,SPMEn80,32,286379.631,201103
15.51,SPMEn80,33,4540302.461,201103
15.63,SPMEn80,34,371243.933,201103
15.9,SPMEn80,35,1319241.791,201103
16.88,SPMEn80,39,55742636.364,201103
17.58,SPMEn80,40,12411318.633,201103
17.76,SPMEn80,41,428890.716,201103
17.93,SPMEn80,42,1034661.589,201103
18.03,SPMEn80,43,1212750.185,201103
19.01,SPMEn80,44,4812421.728,201103
19.11,SPMEn80,45,77302647.356,201103
22.13,SPMEn80,47,22391979.175,201103
22.84,SPMEn80,48,1920557.18,201103
15.09,SPMEn81,31,410246.291,201103
20.91,SPMEn81,46,131866.935,201103
7.32,SPMEn82,5,1359265.086,201103
8.21,SPMEn82,6,1552130.44,201103
12.06,SPMEn82,14,1853505.746,201103
12.2,SPMEn82,15,22841653.829,201103
12.9,SPMEn82,17,250920.411,201103
13.07,SPMEn82,18,1324436.705,201103
13.27,SPMEn82,20,1461529.176,201103
