Peak,N
1,5
2,9
3,8
4,8
5,14
6,7
7,3
8,2
9,2
10,6
11,14
12,12
13,5
14,12
15,18
17,9
18,14
19,6
20,6
21,14
22,3
23,6
24,11
25,7
26,11
27,10
28,6
29,3
30,6
31,9
32,4
33,9
34,6
35,4
36,7
37,5
38,5
39,6
40,5
41,13
42,1
43,7
44,3
45,6
46,13
47,6
48,4
